Date,Google,Red Hat,(Self),Microsoft,CoreOS,ZTE Corporation,Mirantis,Fujitsu,IBM,Weaveworks,Others
2016-01,572,162,45,23,52,0,1,33,3,130,259
2016-02,946,236,72,82,41,0,2,54,13,78,306
2016-03,1000,238,50,191,54,0,1,57,19,145,380
2016-04,600,219,27,118,88,2,9,23,33,44,307
2016-05,976,289,127,90,98,15,27,33,22,58,418
2016-06,1140,204,261,118,83,22,41,63,12,6,257
2016-07,730,230,159,76,50,93,74,23,16,10,309
2016-08,1365,341,181,111,86,56,79,22,22,5,391
2016-09,1054,613,184,85,157,61,84,32,23,40,293
2016-10,1061,579,159,154,60,17,78,20,37,23,490
2016-11,1322,439,101,97,78,40,65,40,14,4,555
2016-12,987,482,263,139,85,62,81,21,50,0,626
2017-01,978,727,275,82,60,62,71,9,63,0,693
2017-02,996,706,221,107,81,129,76,35,77,3,883
2017-03,1011,593,180,79,167,180,73,76,63,4,839
2017-04,851,339,146,93,63,113,47,42,61,1,689
2017-05,1266,542,116,131,79,82,17,62,59,2,741
2017-06,1078,379,141,73,90,32,5,69,61,3,711
